nom,date,new_confirmed_cases
Bambu,2026-05-12,0
Bunia,2026-05-12,6
Butembo,2026-05-12,0
Goma,2026-05-12,0
Katwa,2026-05-12,0
Kilo,2026-05-12,1
Miti Murhesa,2026-05-12,1
Mongbwalu,2026-05-12,1
Nizi,2026-05-12,1
Nyankunde,2026-05-12,2
Rwampara,2026-05-12,7
Bunia,2026-05-20,0
Butembo,2026-05-20,0
Goma,2026-05-20,0
Katwa,2026-05-20,0
Mongbwalu,2026-05-20,12
Nyankunde,2026-05-20,0
Rwampara,2026-05-20,4
Bambu,2026-05-21,1
Bunia,2026-05-21,5
Butembo,2026-05-21,0
Goma,2026-05-21,0
Katwa,2026-05-21,1
Mongbwalu,2026-05-21,0
Nyankunde,2026-05-21,3
Rwampara,2026-05-21,3
Bambu,2026-05-22,0
Bunia,2026-05-22,6
Butembo,2026-05-22,0
Goma,2026-05-22,0
Katwa,2026-05-22,0
Kilo,2026-05-22,1
Miti Murhesa,2026-05-22,1
Mongbwalu,2026-05-22,1
Nizi,2026-05-22,1
Nyankunde,2026-05-22,2
Rwampara,2026-05-22,7
Bambu,2026-05-23,0
Bunia,2026-05-23,0
Butembo,2026-05-23,0
Goma,2026-05-23,0
Katwa,2026-05-23,1
Kilo,2026-05-23,0
Miti Murhesa,2026-05-23,0
Mongbwalu,2026-05-23,9
Nizi,2026-05-23,0
Nyankunde,2026-05-23,0
Rwampara,2026-05-23,0
Aru,2026-05-24,0
Bunia,2026-05-24,0
Butembo,2026-05-24,2
Goma,2026-05-24,0
Kalunguta,2026-05-24,1
Katwa,2026-05-24,0
Kilo,2026-05-24,0
Miti Murhesa,2026-05-24,0
Mongbwalu,2026-05-24,0
Nizi,2026-05-24,0
Nyankunde,2026-05-24,0
Oicha,2026-05-24,1
Rwampara,2026-05-24,0
