nom,date,new_suspected_deaths
Bambu,2026-05-12,ND
Bunia,2026-05-12,ND
Butembo,2026-05-12,ND
Goma,2026-05-12,ND
Katwa,2026-05-12,ND
Kilo,2026-05-12,ND
Miti Murhesa,2026-05-12,ND
Mongbwalu,2026-05-12,ND
Nizi,2026-05-12,ND
Nyankunde,2026-05-12,ND
Rwampara,2026-05-12,ND
Bunia,2026-05-20,ND
Butembo,2026-05-20,ND
Goma,2026-05-20,ND
Katwa,2026-05-20,ND
Mongbwalu,2026-05-20,ND
Nyankunde,2026-05-20,ND
Rwampara,2026-05-20,ND
Bambu,2026-05-21,ND
Bunia,2026-05-21,ND
Butembo,2026-05-21,ND
Goma,2026-05-21,ND
Katwa,2026-05-21,ND
Mongbwalu,2026-05-21,ND
Nyankunde,2026-05-21,ND
Rwampara,2026-05-21,ND
Bambu,2026-05-22,ND
Bunia,2026-05-22,ND
Butembo,2026-05-22,ND
Goma,2026-05-22,ND
Katwa,2026-05-22,ND
Kilo,2026-05-22,ND
Miti Murhesa,2026-05-22,ND
Mongbwalu,2026-05-22,ND
Nizi,2026-05-22,ND
Nyankunde,2026-05-22,ND
Rwampara,2026-05-22,ND
Bambu,2026-05-23,ND
Bunia,2026-05-23,ND
Butembo,2026-05-23,ND
Goma,2026-05-23,ND
Katwa,2026-05-23,ND
Kilo,2026-05-23,ND
Miti Murhesa,2026-05-23,ND
Mongbwalu,2026-05-23,ND
Nizi,2026-05-23,ND
Nyankunde,2026-05-23,ND
Rwampara,2026-05-23,ND
Aru,2026-05-24,ND
Bunia,2026-05-24,ND
Butembo,2026-05-24,ND
Goma,2026-05-24,ND
Kalunguta,2026-05-24,ND
Katwa,2026-05-24,ND
Kilo,2026-05-24,ND
Miti Murhesa,2026-05-24,ND
Mongbwalu,2026-05-24,ND
Nizi,2026-05-24,ND
Nyankunde,2026-05-24,ND
Oicha,2026-05-24,ND
Rwampara,2026-05-24,ND
