nom,date,cumulative_confirmed_cases
Bunia,2026-05-18,6
Butembo,2026-05-18,1
Goma,2026-05-18,1
Katwa,2026-05-18,1
Mongbwalu,2026-05-18,1
Nyankunde,2026-05-18,4
Rwampara,2026-05-18,19
Bunia,2026-05-19,6
Butembo,2026-05-19,1
Goma,2026-05-19,1
Katwa,2026-05-19,1
Mongbwalu,2026-05-19,13
Nyankunde,2026-05-19,4
Rwampara,2026-05-19,25
Bambu,2026-05-20,1
Bunia,2026-05-20,11
Butembo,2026-05-20,1
Echantillons sans fiche,2026-05-20,4
Goma,2026-05-20,1
Katwa,2026-05-20,1
Mongbwalu,2026-05-20,13
Nyankunde,2026-05-20,5
Rwampara,2026-05-20,24
Bambu,2026-05-21,1
Bunia,2026-05-21,15
Butembo,2026-05-21,1
Echantillons sans fiche,2026-05-21,4
Goma,2026-05-21,1
Katwa,2026-05-21,2
Kilo Mission,2026-05-21,1
Miti Murhesa,2026-05-21,1
Mongbwalu,2026-05-21,14
Nizi,2026-05-21,1
Nyankunde,2026-05-21,11
Rwampara,2026-05-21,31
ARU,2026-05-22,1
Bunia,2026-05-22,23
Butembo,2026-05-22,2
Echantillons sans fiche,2026-05-22,6
Goma,2026-05-22,1
Katwa,2026-05-22,3
Kilo,2026-05-22,1
Miti Murhesa,2026-05-22,1
Mongbwalu,2026-05-22,10
Nizi,2026-05-22,2
Nyankunde,2026-05-22,9
Rwampara,2026-05-22,32
Aru,2026-05-23,1
Bambu,2026-05-23,0
Bunia,2026-05-23,24
Butembo,2026-05-23,1
Echantillons sans fiche,2026-05-23,6
Goma,2026-05-23,1
Katwa,2026-05-23,4
Kilo,2026-05-23,1
Miti Murhesa,2026-05-23,1
Mongbwalu,2026-05-23,19
Nizi,2026-05-23,2
Nyankunde,2026-05-23,9
Rwampara,2026-05-23,32
Aru,2026-05-24,1
Bambu,2026-05-24,0
Bunia,2026-05-24,24
Butembo,2026-05-24,3
Echantillons sans fiche,2026-05-24,6
Goma,2026-05-24,1
Kalunguta,2026-05-24,1
Karissibi,2026-05-24,0
Katwa,2026-05-24,4
Kilo,2026-05-24,1
Kyondo,2026-05-24,0
Miti Murhesa,2026-05-24,1
Mongbwalu,2026-05-24,19
Nizi,2026-05-24,2
Nyankunde,2026-05-24,9
Oicha,2026-05-24,1
Rwampara,2026-05-24,32
Aru,2026-05-25,1
Bambu,2026-05-25,0
Bunia,2026-05-25,24
Butembo,2026-05-25,3
Echantillons sans fiche,2026-05-25,6
Goma,2026-05-25,1
Kalunguta,2026-05-25,1
Karissibi,2026-05-25,0
Katwa,2026-05-25,4
Kilo,2026-05-25,1
Kyondo,2026-05-25,1
Miti Murhesa,2026-05-25,1
Mongbwalu,2026-05-25,19
Nizi,2026-05-25,2
Nyankunde,2026-05-25,9
Oicha,2026-05-25,1
Rwampara,2026-05-25,32
Aru,2026-05-27,1
Bambu,2026-05-27,0
Bunia,2026-05-27,37
Butembo,2026-05-27,5
Echantillons sans fiche,2026-05-27,6
Goma,2026-05-27,1
Kalunguta,2026-05-27,2
Katwa,2026-05-27,4
Kilo,2026-05-27,1
Kyondo,2026-05-27,0
Miti Murhesa,2026-05-27,1
Mongbwalu,2026-05-27,20
Nizi,2026-05-27,2
Nyankunde,2026-05-27,10
Oicha,2026-05-27,2
Rwampara,2026-05-27,33
